Song lyrics	Mood	Offensive
chalo ek bar phir se, ajnabi ban jaye ham dono	0	0
vo kaun hai vo kaun hai jo ruth jati hai	0	0
har ek dil ki duaye bula rahi hai tumhe 	0	0
bin barati ghoda hathi bin barati ghoda hathi ye barat sajai re	0	0
ho ho jalne de ho ho jalne de	0	0
sharm roke hai idhar, shauk udhar khiche hai 	0	0
nae daur me likhege mil kar nai kahani	0	0
uthkar girna girkar uthna jivan ki rit purani hai 	0	0
dil dil se mila kar dekho 	0	0
tesan se gaadi jab chhoot jaati hai 	0	0
sasura acchha banda hai	0	0
ek ek ek mai hun bhavraa	0	0
faili sukh ki shital chhaaya	0	0
chaand taaro se chalna hai aage	0	0
ab kya misaal doon	0	0
achhi si farmayish karna	0	0
dil ne phir yaad kiya	0	0
sabko ye bata do kah do har najar se ha 	0	0
kare pyar ki pukar dekho diladar	0	0
woh umango bhari chandani rat hai	0	0
mardo ke liye lakho seje, aurat ke liye bas ek chita 	0	0
vaqt se pahale qisamat se jyada	0	0
apne apne miya pe sab ko bada naaaz hai	0	0
aur shame gam banke agar dukh ke andhere karte safal	0	0
rama ho rama rama ho rama	0	0
thaamke aanchal bole, gori tu mere man bhaai	0	0
jisne racha sansar hai yeh ham rachana us ki gate hain	0	0
dil ne ye tu aai	0	0
teri khidki ke niche ake siti bajata	0	0
apni toh har aah ek tufan hain	0	0
o raat ke musaafir chandaa zaraa bataa de	0	0
dil deke dekho, dil deke dekho dil deke dekho ji	0	0
jaago mohan payare jaago	0	0
kya dekhate ho surat tumhari	0	0
tujhko chhupaya aanchal me	0	0
ho ho ho munna git sunaayega tunna dhol bajayega	0	0
ham bhi tumhare hai, waah waah waah waah waah	0	0
chham chhamaa chham, git gaaya pattharo ne sargam 	0	0
chupchap raho ke izhaar karo	0	0
hamse agar koi jal gaya 	0	0
ke fasana ban gayi hai meri baat talte-talte	0	0
aala re aala zara matki sambhaal brijbaala	0	0
jhum baraabar	0	0
gaw har chhuta re, sapana har tuta re	0	0
meri is halat ko, ha meri is halat ko najar na lagao	0	0
yado me vo sapno me hai jaen kahan	0	0
karti hai fariyad lekin hanste hanste	0	0
chhupe huye o chachal panchhi, jaa jaa jaa	0	0
logo ke naam badal jaate hai 	0	0
dhundh dhundh ke har insaan, kho baitha hai apni jaan 	0	0
mithi chhuri se, mithi chhuri se hua halal	0	0
arre jhuth to kehte nahi hai, kehte nahi hai log koi	0	0
agar tum aajmaaoge to bologe ke ha hai	0	0
arre rocket koi chadhata hai, arre rocket koi chadhata hai	0	0
around the world in eight dollars 	0	0
kaha ruth ke chali o gulab ke kali	0	0
haay mera tan man	0	0
dil mera aapka ghar hai	0	0
kaha ruth ke chali o gulab ke kali 	0	0
karake jora-jori, kar gai hamare dil ki chori	0	0
vaah re fakir khub karamat dikhaai	0	0
phul vahaa khil jaate hai	0	0
milte hai dil kabhi-kabhi varna hai ajnabi sabhi	0	0
mai tumase muhabbat karati hun	0	0
daal gale me ye baahe ab yaar ke	0	0
chal padi mai sath tere sari duniya ko bhulake	0	0
badh ke kadam phir rukane laga	0	0
jise samajhaa naa koi, vahi ek raaz hai tu	0	0
ajnabee tum jane pehchane se lagte ho	0	0
koi bhi use dekhe to bas ye guman ho	0	0
jaane kiski jeet hai ye jaane kiski haar hai	0	0
ghar tak pahuncha dene vali	0	0
resam ki dori hoye resam ki dori	0	0
kitanaa hasin hai yah ik sapna	0	0
aaya hu main badhu rus aur chin me ja ke	0	0
paas kisi gam ko na jab tak bulayega	0	0
ye zamana ye tarana naya fata fat	0	0
darji ki sui tut gayi to	0	0
zindagi ki naa tute ladi	0	0
tu duja byaah rachaayega haaye meri sautan laayega	0	0
barse gagan mere barse nayan	0	0
janeman janeman tere do nayan, chori chori leke gae dekho mera man	0	0
mai wo nagme teri aawaaz ko de aaya tha	0	0
khulataa nahi, kuchh dilarubaa	0	0
prem nagar kee yeh ek sunder prem kahaanee hai	0	0
ho ga_i aadhi raat, ab ghar jaane do	0	0
na re diwani hun, pida ki rani	0	0
likhe to honge khat mujhko par dak me na dale honge	0	0
chhut gayaa jaadu na khade-khade sochiye	0	0
ye zulf laharaai	0	0
oye twinke twinkle little star	0	0
koyi yaha, koyi waha, koyi kaha re	0	0
hillori hillori 	0	0
badnaami se, ho, o o	0	0
sang tumhare do ghadi, bit gaye jo pal 	0	0
raz ki bat keh du to jane mahfil mahfil 	0	0
gulazar karata, koi pyar karata 	0	0
maut ho ya zindagi ham saath chalte jaayenge	0	0
chale hain masti me, to chalne do 	0	0
zami par tujhe mai khuda se mila dun	0	0
yak-b-yak yak-b-yak yak-b-yak  yak-b-yak	0	0
hanste rahe hum dono phulo ke gaanv me	0	0
jalavo ki ye aankh michauli	0	0
lahla lahla lahla laha laha	0	0
dori nahi gori	0	0
jo tum muskuraa do bahaare hanse	0	0
mai aayaa aayaa aayaa aayaa aa jaa	0	0
ab tu hi ise samjha, ab tu hi ise samjha	0	0
tukade hai ye ek dil ke	0	0
hum bewfa hargiz na the par hum wafa kar na sake	0	0
rambha ho ho rambha ho ho mai nachu tum nacho	0	0
o mitava re e e e e 	0	0
usko kasam lage usko kasam lage jo 	0	0
pyali gayi tut munna gaya ruth	0	0
toh maaf karna is bat ke liye aaj raat ke liye	0	0
jaise sip me motee hai, saagar me paanee hai	0	0
jharano ki mauj hai vo, maujo ki ravani hai, meri mahabuba mahabuba	0	0
saayonara saayonara	0	0
daal kar aankhon ko tere rukhsaron pe	0	0
thode gam hai, thodi khushiya	0	0
na ye aansu ruke to dekhiye, ham bhi ro dege	0	0
daaman ho kyun bachaati	0	0
chhodte hai kab ye arma	0	0
mach gayi are mach gayi hai aafat sadko pe, aaye kyamat ladko pe 	0	0
seene se gir ke tera anchal	0	0
tujh sang prit lagayi	0	0
khane ko milte laddu	0	0
kahi aur dil ki dunia basa lo	0	0
ke pag pag dip jalaye meri dosti mera pyar	0	0
hey tere bina main mere bina tu, thi zindagi me adhuri	0	0
kaano me zara keh de, kaano me zara keh de	0	0
badal jaye agar mali chaman hota nahi khali	0	0
dekho roye mera pyar,kahe dil ki pukar 	0	0
kahe to aasmaa se chaand taare le aau	0	0
mai qaafir to nahi, magar ai hasi	0	0
koi shikava nahi hai jo ji chahe saja do	0	0
kuchh yad reh jate hain uname se kuchh log bhul jate hain	0	0
ki maa ko de du ha ji, mandir me rakh du ha ji	0	0
aapas me takdhin takdhin ho gaya, abb kya rah gaya baki 	0	0
mohabbat zindagi hai bas itna jaan le tu 	0	0
karunga tera pichha chaahe lag jaaye hathkadiya	0	0
hai bhul koi dil ki aankho ki yaa khataa hai	0	0
bhigaa bhigaa	0	0
tu ru ru, tu ru ru, tu ru ru, tu ru ru	0	0
sari sari rat teri yad sataye	0	0
haay re pipal chhaiya, baithi pal bhar	0	0
wo dekh dekh jale to jalne do 	0	0
aisa na ho ke bichhad jaye ham	0	0
jai ho ganga maiya	0	0
kya kahun tere liye maine ansu bhi piye	0	0
chanda ko lage grahan suraj ko lage grahan	0	0
tu bhi dil ki lagi ko bujha le	0	0
tum ek hasin ho lakho me, bhala pake tumhe koyi khota hai	0	0
hey abdul rehman abdul rehaman abdul rehaman	0	0
kitni akeli thi wo raahe ham jinpe ab tak akele chalte rahe	0	0
		0	0
dil ke aramaa aansuo me bah gaye	0	0
mera dil ab tera o saajna	0	0
deta na dashmalav bharat to 	0	0
ham mohabbat se mohabbat ka sila dete hai 	0	0
pyar ke jam na pite ham, khokar hosh na pate gam	0	0
gham se mohabbat hai	0	0
aage kuch na pucho ke aati mohe laaj hai	0	0
tim tim tim taaro ke dip jale	0	0
kya tumko sunau, me apna fasana haye	0	0
dar gaya vo kaise bazar me aise	0	0
gaye raja maharaja, ab sab tujha maajha	0	0
kabhi khwabo me chamakte hai muraado ke mahal 	0	0
puchho to is daulu se ye, kaise daulataram bana 	0	0
yahan chalati ko gaadi kahate hain pyare pam pam pam	0	0
o tum hamari zindagi ke baag ho	0	0
na bana chor tu marji se na bana mai sipahi 	0	0
o ye kyo dil pe hath hai	0	0
sharm ham se	0	0
ko_i aage na pichhe	0	0
tere mere pyar ka hoga gali gali me 	0	0
dadi tumhe hum to mana ke rahege	0	0
mai aai aai aai aai aa jaa	0	0
ye hoth aur ye bahe meri amanat hai	0	0
ha hame dekhana haay hame dekhana	0	0
oh sanam hum dono sath rahe janam janam	0	0
shabnam ke moti phulo pe bikhre 	0	0
o maajhi re 	0	0
khatra hai aman ka	0	0
kabhi dono tarasate hai, kabhi dono barsate hai	0	0
meri jaa kah de jara ha kah de	0	0
panchhi akela dekh mujhe ye jal bichaya hai	0	0
aap ab shokh se dede jo saza dete hai 	0	0
hariyali si, chha jati hai	0	0
ghame zindagi ke andhere me hamne	0	0
bola raat ki raani maan le mujhko jaani	0	0
is liye, ki sharma na jaaye phulo ke saaye	0	0
humne jo dekhe sapne, sach go gaye wo apne	0	0
khare ko bhi, khote ko bhi, mote ko bhi, patale ko bhi	0	0
mujhe apni sabhi aahe sabhi dard-o-alam de do	0	0
dekho wo gori-gori raahe 	0	0
hai sabki dekhi, hai sabki jaani, haath kisike na aayi	0	0
ho, raasto me mil gae hai    	0	0
sehara bandhta baza bazta mela lagta ghar aangan me	0	0
pyaar ki raaho me khoi rahun	0	0
saaraa usi kaa to qasur hai	0	0
tu kuchh kahe lagta hai ye tere dil me koyi aur hai	0	0
aisa lagta hai, mauj pyasi hai, apne dariya me	0	0
tere liye zamana tere liye aur tu mere liye	0	0
kuchh bhi ho muskil hai dur rahna	0	0
aayenge kyaa na laut kar 	0	0
chalaa daav pe lagaane	0	0
ek shrimati ki, kalawati ki, sewa kare jo pati ki	0	0
ek ye din hai tu jage sari-sari ratiyan	0	0
ek do teen char raju bada hosiyar	0	0
kya hai khataye meri aaj koi batlaye	0	0
palako se chun daalugi mai kaante teri paao ke	0	0
ham hi mile the kabhi jamuna kinare	0	0
surat kabhee toh dikhayega, pade hain ham bhee raaho me	0	0
jo pyar kiya toh pyar kiya, jo nafrat ki soh nafrat ki	0	0
o ho ho o ho ho aa ha ha aa haha	0	0
to phir kya hoga, to phir kya hoga  	0	0
humse mat puchho kaise, mandir tuta sapno ka	0	0
khoi-khoi aankhe hai udaas	0	0
utra jo nasha to hamne ye jana	0	0
vo aa gaya dekho dekho vo aa gaya, monica monica 	0	0
na to hai ek bhasha meri, na meri ek jati	0	0
hansate hansate jane kaise dil hi dil me tumako paya	0	0
o jana kaho pyar hai tumse, ja ja ja	0	0
ham rote dilo ko hasa de, dukh dadr ki aag bujha de	0	0
o kitni haseen ye raat hai kya ye meri barat hai	0	0
tumamen hai jo baat kisi mein ho	0	0
yahalla yahalla u ya allah, yahalla yahalla u ya allah	0	0
hai prit jaha ki rit sada, hai prit jaha ki rit sada	0	0
sote sote jindganee ghabara ke uthee hai jag	0	0
dulhan sa mujhe sajao dulhan sa mujhe sajao ri	0	0
main aaj yaha hu kuku, kal jaane kaha hu kuku	0	0
so ke bhi jaagte hi rahte hain jabaaj suno	0	0
kya kaha tujhe main bhul jau	0	0
bas ek baar mera kaha, maan lijiye	0	0
mana tu saare hasino se hasi hai	0	0
hoye hoye dhundhe tera pyar raste raste	0	0
haye tod diya	0	0
apne aangan naache gayenge chanda sitare	0	0
tum ho kahi aur ham kahi 	0	0
or piye cigartte baby	0	0
jiyo mere lal jiyo mere lal 	0	0
ruk jaa na jaa dil tod ke, e e	0	0
nadi mile sagar me	0	0
aisa na ho, aisa na ho, apne khuda se raat din	0	0
o meri jaan, bol meri jaan	0	0
o yaar hu hu shandar hai	0	0
mai to divana divana divana	0	0
apane dil ka horn bajao bich bazar na break lagao	0	0
aavaz de tu kon si nagari me chhupa hai	0	0
tu ho na ho aankho me rahti teri surat hai	0	0
teri galiyo ka me hu ek banjara 	0	0
bade bado ki maine kar di hai aisi taisi	0	0
ye bole jogi ka ektara ho	0	0
mausam dil ki dhadkan jaisa lagata hai 	0	0
apne ghar ke raaja tum chhedo man ka baaja tum	0	0
milega wahi jo maangoge jo dildaar se magar pyaar se	0	0
phir bhi takraar hai, hai 	0	0
nayi umangen sang laayega har din aanewala aanewala	0	0
mai chali mai chali 	0	0
pyaar me jaae jal, ham to pyaar me jaae jal, pal pal 	0	0
aa aa aa aa aa aa, aas milee armaan mila	0	0
ke tum mere kya ho, ke tum mere kya ho	0	0
wo kaun hai jo aakar khwabo pe chha gaya hai	0	0
kaha gaye mere bhagwaan	0	0
hey seth karodimal ki bibi ek rat ye boli	0	0
do kism ke neta hote hain, ik deta hai ik paata hai, ho ho	0	0
yak-b-yak yak-b-yak koi kahi 	0	0
janun to jaanun bas itana janun ki tujhe apana janun re	0	0
baarood agar ye chal jaaye	0	0
tera rasta dekhenge mere naina	0	0
kaise yaki aaye tujhe tu jo kahe main woh karu	0	0
jitna ji chaahe pukaaro, phir nahi aayenge ham	0	0
wo to har roj rulaate hai ghataao ki tarah	0	0
dekho mujhe sar se kadam tak sirf pyaar hun main	0	0
ithra ke na chal balkha ke na chal 	0	0
dunia se bhi takrana	0	0
munna, guddi, tiku, mili, shin shinaati babulaa bu	0	0
nazar ladi phisal padi topi topiwaalon ki nazar ladi phisal padi	0	0
dhundh laayaa hun vahi, git mai tere liye	0	0
phir toh bhatke raahi ko mil jayenge raste	0	0
ek badal udhar se chala jhum ke	0	0
anahoni ko honi kar de honi ko anahoni	0	0
everybody come on	0	0
ki khonaa bhi padataa hai paane ke pahale	0	0
ishq maasum hai ishq maasum hai 	0	0
dil ne hamse jo kaha, hamne vaisa hi kiya	0	0
ek saheli ka miya tha driver, miya tha driver, miya tha driver	0	0
kya mausam hai ai divane dil	0	0
itna toh asar kar jaye meri wafaye o bewafa	0	0
aa, mere piya jhume jiya jhume ye nazare	0	0
huwa kya, kisi se, kiya tha tumne pyar	0	0
ha ha ha ho ho ho hee ha ha ha	0	0
e,kyaa program hai aaj raat kaa	0	0
tota maina ki kahani 	0	0
dono ankhiya tori	0	0
ooei ooei aaja meri bvaho me	0	0
jo nakali hai kabhi usse	0	0
chhup na sake mere raaz, nagmo me dhalne lage	0	0
jhulat aaya sawan pyara	0	0
is liye,  ki vaade kiye aur kar ke nibhaaye	0	0
insan bhi hai 	0	0
dil ke bandhan itne sachche jitne ye din raat	0	0
ko aaya chain zara sa	0	0
milane ki yeh rut hai gori din hai hamare	0	0
jivan ke safar me tanhayi	0	0
kabhi kabhi tere ghar tirth samajh kar 	0	0
muskaaye ji jalaa_i ke	0	0
mera dil agar koyi dil nahi	0	0
khana bhi pakaaoge, pakaaunga	0	0
roz naye sapne dikhane wale, ha boom boom	0	0
aisi may bhi hai kahi	0	0
tu humko jo mil jaye to hal apna sunaye	0	0
kurta ye jali vala uspar motiyan ki mala	0	0
tu jo kahe mai woh kahu saya banu sang sang rahu	0	0
mai chhune lagun tu ud jae pariyo se tere par sajani	0	0
saike ye latka saike ye jhatka	0	0
dil ki ye aarazu thi koi dilarubaa mile	0	0
majdhaar me naiyaa dole,  to maajhi paar lagaaye	0	0
dil ke dware dil ke dware	0	0
it ki dukki paan kaa ikkaa	0	0
kabutar kabutar kabutar kabutar kabutar kabutar	0	0
laakh taraane, rahaa mai sunaaye	0	0
aa dil bole boom boom	0	0
aa ee u ae aa ee u ae 	0	0
ho  mujhe kehte hain kallu kavval kallu kavval	0	0
phir hai sajna ojhal kyo meri nigaho se	0	0
saj rahi gali meri maa chunari gote me	0	0
he tut ke rah gayo dank utar gayo bichhua	0	0
hontho pe dahkate angare	0	0
mere tan pe chhanv hai usi ki re	0	0
khudaya khudya mohabbat na hoti hum ban ke 	0	0
aise la la la, right, cha cha cha	0	0
aisa kyaa hai tum men jaa jhuthi	0	0
saanso ke taar par, dhadkan ki taal par	0	0
ye bas naam hi naam ki chiz hai, kam ki chiz hai	0	0
hum to deewane diljale	0	0
khayalo me dubi hu tere o babu	0	0
aai aai dekho dekho aai hansi aai re 	0	0
is daak khane me nahi, saare jamaane me nahi	0	0
barsii ghataa to jhuumkar 	0	0
ek taraf apne dube isharo ka gam	0	0
mai tera kya le jaungi kuch na kuch tohe de jaungi 	0	0
hamane bahut tujhako chhup chhupake dekhaa  	0	0
tum bin jaaun kahaan, ke duniya mein aake	0	0
joru teri sar ghumegi roz kahegi gadha dhechu dhechu	0	0
jo khil sake na wo phool ham hain	0	0
bhul gaye vo, tu bhi bhula de, pyar ki vo mulaqate	0	0
tod de dilo ki duri, aisi kya hai majaburi, dil dil se milane de	0	0
tumhaari aankh hai yaa, nashe kaa tod hai ye?	0	0
kya neta kya abhineta de janata ko jo dhokha	0	0
mahasus ye hota hai mujhako jaise mai tera dam bharati hun 	0	0
chupke rahe jaise champa ki dali	0	0
ke mai chal bhi nahi sakata hun aur tum daud jate ho 	0	0
ye kya samajhe pyar ko jinaka, sab kuchh chandi sona hai	0	0
ye to nache chham chham mera nikale hai dam	0	0
koi dekh le agar ghum na kar	0	0
tere nazrane hai tujh pe hi vaar du	0	0
isme chain nahi na karaar	0	0
jismo ke jismo se, sadiyo ke nate hai	0	0
dil ne phir yaad kiya	0	0
suno ji tum kya-kya kharidoge	0	0
kuchh der meraa man lahrayaa	0	0
pesh aayegi kisi ki zarurat kabhi-kabhi	0	0
oe aano naa sistar, bolo cheers	0	0
jaane kaise, saans ye aise, aa jaa rahi hai	0	0
hamne to samajha tha phul khile	0	0
devdaas mitva gaao, chandramukhi ke paas aao	0	0
tu meharban rahe to mera dil ye kahe	0	0
tere rag-rup ki chhaya tak na ravi pahunche na kavi pahunche	0	0
ho use kaun khilaaye	0	0
jiski khaatir ruk liye the mere kadam	0	0
unase mili nazar ke mere hosh ud gaye	0	0
to pyaar ka zamana kis kaam aaya	0	0
tum bhi ek din azma ke dekho to zara	0	0
hoga milan gulzaaro me	0	0
rasagulle si mithi baate inaki shaan niraali	0	0
tumhare khwab se dilkash 	0	0
badi mamta hai, bada pyar ma ki aankho me, ma ki aankho me 	0	0
pad jaayenge dhabbe kajal ke	0	0
o ho ho ho khoya khoya chand khula aasman	0	0
mausame gul ko hasana hi hamara kam hota	0	0
mujhe pal pal hai tadpaye	0	0
khudaya khudya mohabbat na hoti khudaya	0	0
isake pinese pataa hoti hai ke zindaadili	0	0
khel zara si khel zara si 	0	0
rachaao mere in hatho me mehadi 	0	0
hamako na ye gumaan thaa, o sagadil sanam	0	0
raahi matwaale tu chhed ik baar man ka sitaar 	0	0
kal kal kal kal kal kal	0	0
sochu to aata hai pasina, bap-re	0	0
apna bhi hal tere jaisa hai, kya kare ham bhi mausam aisa hai	0	0
are didi ko kasht na dunga kabhi bacho ko khud hi sambhalunga	0	0
aankho me bhige bhige se lamhe liye huye	0	0
jagaa ke ansuni si dhadkan	0	0
kahe kare roz-roz tu ye jhamela 	0	0
mat bandho zbardsti se mat bandho	0	0
zara sa sidho ho ja zaalima mhaaro jiyo bhatake	0	0
chanda jaisa mukhda kiran jaise haath	0	0
saari duniya meri ulfat ki tamasayi hai 	0	0
akhiyo me kajra, kalaiya me gajra	0	0
ho rab jhut na bulaye hay jhut na bulaye	0	0
kya dekhe us manzil ko jo chhod  chuke hai	0	0
mr john ya baba khan ya lala roshandaan	0	0
